probe,p,shots,accepted,errors,acceptance,logical_error_rate
+,0.0005,5000000,3892871,239,0.77857420,0.00006139427687
+,0.0006,5000000,3703549,355,0.74070980,0.00009585400382
+,0.0008,3750000,2511302,506,0.66968053,0.0002014891080
+,0.0010,2250000,1364668,519,0.60651911,0.0003803122811
+,0.0012,1500000,823154,527,0.54876933,0.0006402204205
+,0.0014,1250000,619163,612,0.49533040,0.0009884311563
+,0.0017,750000,321386,542,0.42851467,0.001686445583
+,0.0020,750000,276715,694,0.36895333,0.002507995591
0,0.0005,5000000,3891519,227,0.77830380,0.00005833197782
0,0.0006,5000000,3701684,345,0.74033680,0.00009320082427
0,0.0008,4000000,2680723,505,0.67018075,0.0001883820149
0,0.0010,2250000,1364220,531,0.60632000,0.0003892334081
0,0.0012,1750000,960245,544,0.54871143,0.0005665220855
0,0.0014,1250000,620926,555,0.49674080,0.0008938263175
0,0.0017,1000000,428613,603,0.42861300,0.001406863534
0,0.0020,750000,276239,680,0.36831867,0.002461636481
