probe,p,shots,accepted,errors,acceptance,logical_error_rate
+,0.0008,3954000000,1580710343,504,0.3997749982,3.188439946e-07
+,0.0010,2242000000,712784921,503,0.3179236936,7.056827174e-07
+,0.0012,1640000000,414613001,503,0.2528128055,1.213179516e-06
+,0.0014,1420000000,285469396,506,0.2010347859,1.772519251e-06
+,0.0017,996000000,142038124,505,0.1426085582,3.555383483e-06
+,0.0020,884000000,89404785,506,0.1011366346,5.659652333e-06
0,0.0008,19630000000,7866015738,500,0.4007139958,6.356458170e-08
0,0.0010,11244000000,3585192687,501,0.3188538498,1.397414431e-07
0,0.0012,8066000000,2046361433,500,0.2537021365,2.443361138e-07
0,0.0014,7132000000,1439832353,501,0.2018833922,3.479571764e-07
0,0.0017,5422000000,777027748,501,0.1433101712,6.447646191e-07
0,0.0020,4812000000,489572832,501,0.1017399900,1.023341099e-06
